genome Protein
GCF_000012345.1.gff S8
GCF_000012345.1.gff S14
GCF_000012345.1.gff L5
GCF_000012345.1.gff L24
GCF_000012345.1.gff L14
GCF_000012345.1.gff S17
GCF_000012345.1.gff L29
GCF_000012345.1.gff L16
GCF_000012345.1.gff S3
GCF_000012345.1.gff L22
GCF_000012345.1.gff S19
GCF_000012345.1.gff L2
GCF_000012345.1.gff L23
GCF_000012345.1.gff L4
GCF_000012345.1.gff L3
GCF_000012345.1.gff S10
GCF_000012345.1.gff S7
GCF_000012345.1.gff S12
GCF_000012345.1.gff L7/L12
GCF_000012345.1.gff L10
GCF_000012345.1.gff L1
GCF_000012345.1.gff L11
GCF_000012345.1.gff S4

GCA_000147015.1.gff L34
GCA_000147015.1.gff L20
GCA_000147015.1.gff L35
GCA_000147015.1.gff L25
GCA_000147015.1.gff S1
GCA_000147015.1.gff L11
GCA_000147015.1.gff L1
GCA_000147015.1.gff L10
GCA_000147015.1.gff L7/L12
GCA_000147015.1.gff S2
GCA_000147015.1.gff L13
GCA_000147015.1.gff S9
GCA_000147015.1.gff S20
GCA_000147015.1.gff S21
GCA_000147015.1.gff L31
GCA_000147015.1.gff S15
GCA_000147015.1.gff S18
GCA_000147015.1.gff S6
GCA_000147015.1.gff L32
GCA_000147015.1.gff L21
GCA_000147015.1.gff L27
GCA_000147015.1.gff L17
GCA_000147015.1.gff S4
GCA_000147015.1.gff S11
GCA_000147015.1.gff S13
GCA_000147015.1.gff L36
GCA_000147015.1.gff L15
GCA_000147015.1.gff L30
GCA_000147015.1.gff S5
GCA_000147015.1.gff L18
GCA_000147015.1.gff L6
GCA_000147015.1.gff S8
GCA_000147015.1.gff S14
GCA_000147015.1.gff L5
GCA_000147015.1.gff L24
GCA_000147015.1.gff L14
GCA_000147015.1.gff S17
GCA_000147015.1.gff L16
GCA_000147015.1.gff S3
GCA_000147015.1.gff L22
GCA_000147015.1.gff S19
GCA_000147015.1.gff L2
GCA_000147015.1.gff L4
GCA_000147015.1.gff L3
GCA_000147015.1.gff S10
GCA_000147015.1.gff S7
GCA_000147015.1.gff S12
GCA_000147015.1.gff L33
GCA_000147015.1.gff L28
GCA_000147015.1.gff L19
GCA_000147015.1.gff S16

GCA_025999395.1.gff S15
GCA_025999395.1.gff L20
GCA_025999395.1.gff S12
GCA_025999395.1.gff S9
GCA_025999395.1.gff L9
GCA_025999395.1.gff L27
GCA_025999395.1.gff L36
GCA_025999395.1.gff S13
GCA_025999395.1.gff S11
GCA_025999395.1.gff S4
GCA_025999395.1.gff L17
GCA_025999395.1.gff S10
GCA_025999395.1.gff L3
GCA_025999395.1.gff L4
GCA_025999395.1.gff L2
GCA_025999395.1.gff S19
GCA_025999395.1.gff S3
GCA_025999395.1.gff L16
GCA_025999395.1.gff S17
GCA_025999395.1.gff L14
GCA_025999395.1.gff L24
GCA_025999395.1.gff L5
GCA_025999395.1.gff S14
GCA_025999395.1.gff S8
GCA_025999395.1.gff L6
GCA_025999395.1.gff L18
GCA_025999395.1.gff S5
GCA_025999395.1.gff L15
GCA_025999395.1.gff L21
GCA_025999395.1.gff L7/L12
GCA_025999395.1.gff L33
GCA_025999395.1.gff S2
GCA_025999395.1.gff S16
GCA_025999395.1.gff L32
GCA_025999395.1.gff L11
GCA_025999395.1.gff L31
GCA_025999395.1.gff L25
GCA_025999395.1.gff L19
GCA_025999395.1.gff S18

GCF_014251975.1.gff L33
GCF_014251975.1.gff L28
GCF_014251975.1.gff L32
GCF_014251975.1.gff L25
GCF_014251975.1.gff L20
GCF_014251975.1.gff L35
GCF_014251975.1.gff S20
GCF_014251975.1.gff S16
GCF_014251975.1.gff L9
GCF_014251975.1.gff S18
GCF_014251975.1.gff S6
GCF_014251975.1.gff S1
GCF_014251975.1.gff L17
GCF_014251975.1.gff S4
GCF_014251975.1.gff S11
GCF_014251975.1.gff S13
GCF_014251975.1.gff L36
GCF_014251975.1.gff L15
GCF_014251975.1.gff S5
GCF_014251975.1.gff L18
GCF_014251975.1.gff L6
GCF_014251975.1.gff S8
GCF_014251975.1.gff S14
GCF_014251975.1.gff L5
GCF_014251975.1.gff L6
GCF_014251975.1.gff S8
GCF_014251975.1.gff S14
GCF_014251975.1.gff L5
GCF_014251975.1.gff L24
GCF_014251975.1.gff L14
GCF_014251975.1.gff S17
GCF_014251975.1.gff L29
GCF_014251975.1.gff L16
GCF_014251975.1.gff S3
GCF_014251975.1.gff L22
GCF_014251975.1.gff S19
GCF_014251975.1.gff L2
GCF_014251975.1.gff L23
GCF_014251975.1.gff L4
GCF_014251975.1.gff L3
GCF_014251975.1.gff S10
GCF_014251975.1.gff S7
GCF_014251975.1.gff S12
GCF_014251975.1.gff S2
GCF_014251975.1.gff S9
GCF_014251975.1.gff L13
GCF_014251975.1.gff L7/L12
GCF_014251975.1.gff L10
GCF_014251975.1.gff L11
GCF_014251975.1.gff L19
GCF_014251975.1.gff S21
GCF_014251975.1.gff L31
GCF_014251975.1.gff S15
GCF_014251975.1.gff L34
GCF_014251975.1.gff L27
GCF_014251975.1.gff L21

GCA_003391315.1.gff L11
GCA_003391315.1.gff L1
GCA_003391315.1.gff L7/L12
GCA_003391315.1.gff S12
GCA_003391315.1.gff S7
GCA_003391315.1.gff S10
GCA_003391315.1.gff S9
GCA_003391315.1.gff L13
GCA_003391315.1.gff L25
GCA_003391315.1.gff L33
GCA_003391315.1.gff L28
GCA_003391315.1.gff S15
GCA_003391315.1.gff S16
GCA_003391315.1.gff L20
GCA_003391315.1.gff S2
GCA_003391315.1.gff S18
GCA_003391315.1.gff L31
GCA_003391315.1.gff L34
GCA_003391315.1.gff L27
GCA_003391315.1.gff L3
GCA_003391315.1.gff L4
GCA_003391315.1.gff L23
GCA_003391315.1.gff L2
GCA_003391315.1.gff S19
GCA_003391315.1.gff L22
GCA_003391315.1.gff S3
GCA_003391315.1.gff L16
GCA_003391315.1.gff S17
GCA_003391315.1.gff L14
GCA_003391315.1.gff L24
GCA_003391315.1.gff L5
GCA_003391315.1.gff S14
GCA_003391315.1.gff S8
GCA_003391315.1.gff L6
GCA_003391315.1.gff L18
GCA_003391315.1.gff S5
GCA_003391315.1.gff L15
GCA_003391315.1.gff L36
GCA_003391315.1.gff S13
GCA_003391315.1.gff S11
GCA_003391315.1.gff S4
GCA_003391315.1.gff L17

GCF_902860225.1.gff S21
GCF_902860225.1.gff L19
GCF_902860225.1.gff S16
GCF_902860225.1.gff L9
GCF_902860225.1.gff S18
GCF_902860225.1.gff S6
GCF_902860225.1.gff L31
GCF_902860225.1.gff L34
GCF_902860225.1.gff S12
GCF_902860225.1.gff S7
GCF_902860225.1.gff S10
GCF_902860225.1.gff L3
GCF_902860225.1.gff L4
GCF_902860225.1.gff L23
GCF_902860225.1.gff L2
GCF_902860225.1.gff S19
GCF_902860225.1.gff L22
GCF_902860225.1.gff S3
GCF_902860225.1.gff L16
GCF_902860225.1.gff L29
GCF_902860225.1.gff S17
GCF_902860225.1.gff L14
GCF_902860225.1.gff L24
GCF_902860225.1.gff L5
GCF_902860225.1.gff S14
GCF_902860225.1.gff S8
GCF_902860225.1.gff L6
GCF_902860225.1.gff L18
GCF_902860225.1.gff S5
GCF_902860225.1.gff L30
GCF_902860225.1.gff L15
GCF_902860225.1.gff S9
GCF_902860225.1.gff L13
GCF_902860225.1.gff L36
GCF_902860225.1.gff S13
GCF_902860225.1.gff S11
GCF_902860225.1.gff S4
GCF_902860225.1.gff L17
GCF_902860225.1.gff S1
GCF_902860225.1.gff S15
GCF_902860225.1.gff L35
GCF_902860225.1.gff L20
GCF_902860225.1.gff S20
GCF_902860225.1.gff L33
GCF_902860225.1.gff L28
GCF_902860225.1.gff L25
GCF_902860225.1.gff S2
GCF_902860225.1.gff L32
GCF_902860225.1.gff L27
GCF_902860225.1.gff L21
GCF_902860225.1.gff L11
GCF_902860225.1.gff L1
GCF_902860225.1.gff L10
GCF_902860225.1.gff L7/L12

GCF_000709555.1.gff L25
GCF_000709555.1.gff L33
GCF_000709555.1.gff L28
GCF_000709555.1.gff L13
GCF_000709555.1.gff S9
GCF_000709555.1.gff S2
GCF_000709555.1.gff S12
GCF_000709555.1.gff S7
GCF_000709555.1.gff S10
GCF_000709555.1.gff L3
GCF_000709555.1.gff L4
GCF_000709555.1.gff L23
GCF_000709555.1.gff L2
GCF_000709555.1.gff S19
GCF_000709555.1.gff L22
GCF_000709555.1.gff S3
GCF_000709555.1.gff L16
GCF_000709555.1.gff S17
GCF_000709555.1.gff L14
GCF_000709555.1.gff L24
GCF_000709555.1.gff L5
GCF_000709555.1.gff S14
GCF_000709555.1.gff S8
GCF_000709555.1.gff L6
GCF_000709555.1.gff L18
GCF_000709555.1.gff S5
GCF_000709555.1.gff L30
GCF_000709555.1.gff L15
GCF_000709555.1.gff L36
GCF_000709555.1.gff S13
GCF_000709555.1.gff S11
GCF_000709555.1.gff S4
GCF_000709555.1.gff L17
GCF_000709555.1.gff L35
GCF_000709555.1.gff L20
GCF_000709555.1.gff S1
GCF_000709555.1.gff L34
GCF_000709555.1.gff L19
GCF_000709555.1.gff S21
GCF_000709555.1.gff L7/L12
GCF_000709555.1.gff L10
GCF_000709555.1.gff L1
GCF_000709555.1.gff L11
GCF_000709555.1.gff S18
GCF_000709555.1.gff S6
GCF_000709555.1.gff L32
GCF_000709555.1.gff S15
GCF_000709555.1.gff L31
GCF_000709555.1.gff S16
GCF_000709555.1.gff S20
GCF_000709555.1.gff THX
GCF_000709555.1.gff L21
GCF_000709555.1.gff L27

GCA_002074035.1.gff L19
GCA_002074035.1.gff S16
GCA_002074035.1.gff L35
GCA_002074035.1.gff L34
GCA_002074035.1.gff S1
GCA_002074035.1.gff S6
GCA_002074035.1.gff S18
GCA_002074035.1.gff L27
GCA_002074035.1.gff S2
GCA_002074035.1.gff L31
GCA_002074035.1.gff L32
GCA_002074035.1.gff L7/L12
GCA_002074035.1.gff L11
GCA_002074035.1.gff L17
GCA_002074035.1.gff S4
GCA_002074035.1.gff S11
GCA_002074035.1.gff S13
GCA_002074035.1.gff L36
GCA_002074035.1.gff L15
GCA_002074035.1.gff L30
GCA_002074035.1.gff S5
GCA_002074035.1.gff L18
GCA_002074035.1.gff S8
GCA_002074035.1.gff S14
GCA_002074035.1.gff L5
GCA_002074035.1.gff L24
GCA_002074035.1.gff L14
GCA_002074035.1.gff S17
GCA_002074035.1.gff L16
GCA_002074035.1.gff S3
GCA_002074035.1.gff L22
GCA_002074035.1.gff S19
GCA_002074035.1.gff L2
GCA_002074035.1.gff L4
GCA_002074035.1.gff L3
GCA_002074035.1.gff S10
GCA_002074035.1.gff S7
GCA_002074035.1.gff S12
GCA_002074035.1.gff L28
GCA_002074035.1.gff L33
GCA_002074035.1.gff S20
GCA_002074035.1.gff S21
GCA_002074035.1.gff S21
GCA_002074035.1.gff S20

GCF_021222645.1.gff S20
GCF_021222645.1.gff S15
GCF_021222645.1.gff S6
GCF_021222645.1.gff S18
GCF_021222645.1.gff L28
GCF_021222645.1.gff L20
GCF_021222645.1.gff L35
GCF_021222645.1.gff S21
GCF_021222645.1.gff L21
GCF_021222645.1.gff L31
GCF_021222645.1.gff S2
GCF_021222645.1.gff L27
GCF_021222645.1.gff L7/L12
GCF_021222645.1.gff L10
GCF_021222645.1.gff L1
GCF_021222645.1.gff L11
GCF_021222645.1.gff L33
GCF_021222645.1.gff S9
GCF_021222645.1.gff L13
GCF_021222645.1.gff L17
GCF_021222645.1.gff S4
GCF_021222645.1.gff S11
GCF_021222645.1.gff S13
GCF_021222645.1.gff L36
GCF_021222645.1.gff L15
GCF_021222645.1.gff S5
GCF_021222645.1.gff L18
GCF_021222645.1.gff L6
GCF_021222645.1.gff S8
GCF_021222645.1.gff S14
GCF_021222645.1.gff L5
GCF_021222645.1.gff L24
GCF_021222645.1.gff L14
GCF_021222645.1.gff S17
GCF_021222645.1.gff L29
GCF_021222645.1.gff L16
GCF_021222645.1.gff S3
GCF_021222645.1.gff L22
GCF_021222645.1.gff S19
GCF_021222645.1.gff L2
GCF_021222645.1.gff L23
GCF_021222645.1.gff L4
GCF_021222645.1.gff L3
GCF_021222645.1.gff S10
GCF_021222645.1.gff S7
GCF_021222645.1.gff S12
GCF_021222645.1.gff L19
GCF_021222645.1.gff S16
GCF_021222645.1.gff L34

GCF_900048035.1.gff S12
GCF_900048035.1.gff S7
GCF_900048035.1.gff L11
GCF_900048035.1.gff L1
GCF_900048035.1.gff L10
GCF_900048035.1.gff L7/L12
GCF_900048035.1.gff S2
GCF_900048035.1.gff L35
GCF_900048035.1.gff L20
GCF_900048035.1.gff L25
GCF_900048035.1.gff L19
GCF_900048035.1.gff S16
GCF_900048035.1.gff S20
GCF_900048035.1.gff S15
GCF_900048035.1.gff L27
GCF_900048035.1.gff L21
GCF_900048035.1.gff L9
GCF_900048035.1.gff S18
GCF_900048035.1.gff S6
GCF_900048035.1.gff L34
GCF_900048035.1.gff S10
GCF_900048035.1.gff L3
GCF_900048035.1.gff L4
GCF_900048035.1.gff L23
GCF_900048035.1.gff L2
GCF_900048035.1.gff S19
GCF_900048035.1.gff L22
GCF_900048035.1.gff S3
GCF_900048035.1.gff L16
GCF_900048035.1.gff L29
GCF_900048035.1.gff S17
GCF_900048035.1.gff L14
GCF_900048035.1.gff L24
GCF_900048035.1.gff L5
GCF_900048035.1.gff S14
GCF_900048035.1.gff S8
GCF_900048035.1.gff L6
GCF_900048035.1.gff L18
GCF_900048035.1.gff S5
GCF_900048035.1.gff L30
GCF_900048035.1.gff L15
GCF_900048035.1.gff L36
GCF_900048035.1.gff S13
GCF_900048035.1.gff S11
GCF_900048035.1.gff S4
GCF_900048035.1.gff L17
GCF_900048035.1.gff L28
GCF_900048035.1.gff L33
GCF_900048035.1.gff L31
GCF_900048035.1.gff L13
GCF_900048035.1.gff S9
GCF_900048035.1.gff S21
GCF_900048035.1.gff S1
GCF_900048035.1.gff L32

GCA_026016225.1.gff S6
GCA_026016225.1.gff S18
GCA_026016225.1.gff L19
GCA_026016225.1.gff S15
GCA_026016225.1.gff L34
GCA_026016225.1.gff S20
GCA_026016225.1.gff L20
GCA_026016225.1.gff L35
GCA_026016225.1.gff L25
GCA_026016225.1.gff L31
GCA_026016225.1.gff S2
GCA_026016225.1.gff L9
GCA_026016225.1.gff L21
GCA_026016225.1.gff L7/L12
GCA_026016225.1.gff L10
GCA_026016225.1.gff L33
GCA_026016225.1.gff S16
GCA_026016225.1.gff L32
GCA_026016225.1.gff L11
GCA_026016225.1.gff S9
GCA_026016225.1.gff L13
GCA_026016225.1.gff L17
GCA_026016225.1.gff S4
GCA_026016225.1.gff S11
GCA_026016225.1.gff S13
GCA_026016225.1.gff L36
GCA_026016225.1.gff L15
GCA_026016225.1.gff S5
GCA_026016225.1.gff L18
GCA_026016225.1.gff L6
GCA_026016225.1.gff S8
GCA_026016225.1.gff S14
GCA_026016225.1.gff L5
GCA_026016225.1.gff L24
GCA_026016225.1.gff L14
GCA_026016225.1.gff S17
GCA_026016225.1.gff L29
GCA_026016225.1.gff L16
GCA_026016225.1.gff S3
GCA_026016225.1.gff L22
GCA_026016225.1.gff S19
GCA_026016225.1.gff L2
GCA_026016225.1.gff L23
GCA_026016225.1.gff L4
GCA_026016225.1.gff L3
GCA_026016225.1.gff S10
GCA_026016225.1.gff S7
GCA_026016225.1.gff S12
GCA_026016225.1.gff L28

GCF_024205245.1.gff L34
GCF_024205245.1.gff L7/L12
GCF_024205245.1.gff L10
GCF_024205245.1.gff L1
GCF_024205245.1.gff L11
GCF_024205245.1.gff S21
GCF_024205245.1.gff L33
GCF_024205245.1.gff L28
GCF_024205245.1.gff L35
GCF_024205245.1.gff L20
GCF_024205245.1.gff L25
GCF_024205245.1.gff S20
GCF_024205245.1.gff S2
GCF_024205245.1.gff S1
GCF_024205245.1.gff L32
GCF_024205245.1.gff S15
GCF_024205245.1.gff L21
GCF_024205245.1.gff L27
GCF_024205245.1.gff S9
GCF_024205245.1.gff L13
GCF_024205245.1.gff S16
GCF_024205245.1.gff L19
GCF_024205245.1.gff L17
GCF_024205245.1.gff S4
GCF_024205245.1.gff S11
GCF_024205245.1.gff S13
GCF_024205245.1.gff L36
GCF_024205245.1.gff L15
GCF_024205245.1.gff L30
GCF_024205245.1.gff S5
GCF_024205245.1.gff L18
GCF_024205245.1.gff L6
GCF_024205245.1.gff S8
GCF_024205245.1.gff S14
GCF_024205245.1.gff L5
GCF_024205245.1.gff L24
GCF_024205245.1.gff L14
GCF_024205245.1.gff S17
GCF_024205245.1.gff L29
GCF_024205245.1.gff L16
GCF_024205245.1.gff S3
GCF_024205245.1.gff L22
GCF_024205245.1.gff S19
GCF_024205245.1.gff L2
GCF_024205245.1.gff L23
GCF_024205245.1.gff L4
GCF_024205245.1.gff L3
GCF_024205245.1.gff S10
GCF_024205245.1.gff S7
GCF_024205245.1.gff S12
GCF_024205245.1.gff L9
GCF_024205245.1.gff S18
GCF_024205245.1.gff S6
GCF_024205245.1.gff L31

GCA_017134395.1.gff L25
GCA_017134395.1.gff L31
GCA_017134395.1.gff S2
GCA_017134395.1.gff L32
GCA_017134395.1.gff S16
GCA_017134395.1.gff L36
GCA_017134395.1.gff S13
GCA_017134395.1.gff S11
GCA_017134395.1.gff S4
GCA_017134395.1.gff L17
GCA_017134395.1.gff L13
GCA_017134395.1.gff S9
GCA_017134395.1.gff L27
GCA_017134395.1.gff L9
GCA_017134395.1.gff L21
GCA_017134395.1.gff L33
GCA_017134395.1.gff L7/L12
GCA_017134395.1.gff L10
GCA_017134395.1.gff S18
GCA_017134395.1.gff S6
GCA_017134395.1.gff L11
GCA_017134395.1.gff L19
GCA_017134395.1.gff S20
GCA_017134395.1.gff L34
GCA_017134395.1.gff S15
GCA_017134395.1.gff L28
GCA_017134395.1.gff S12
GCA_017134395.1.gff S7
GCA_017134395.1.gff S10
GCA_017134395.1.gff L3
GCA_017134395.1.gff L4
GCA_017134395.1.gff L23
GCA_017134395.1.gff L2
GCA_017134395.1.gff S19
GCA_017134395.1.gff L22
GCA_017134395.1.gff S3
GCA_017134395.1.gff L16
GCA_017134395.1.gff L29
GCA_017134395.1.gff S17
GCA_017134395.1.gff L14
GCA_017134395.1.gff L24
GCA_017134395.1.gff L5
GCA_017134395.1.gff S14
GCA_017134395.1.gff S8
GCA_017134395.1.gff L6
GCA_017134395.1.gff L18
GCA_017134395.1.gff S5
GCA_017134395.1.gff L15
GCA_017134395.1.gff L20
GCA_017134395.1.gff L35

GCA_000699475.1.gff L13
GCA_000699475.1.gff S9
GCA_000699475.1.gff L33
GCA_000699475.1.gff L11
GCA_000699475.1.gff L10
GCA_000699475.1.gff S12
GCA_000699475.1.gff S7
GCA_000699475.1.gff S10
GCA_000699475.1.gff L3
GCA_000699475.1.gff L4
GCA_000699475.1.gff L2
GCA_000699475.1.gff S19
GCA_000699475.1.gff S3
GCA_000699475.1.gff L16
GCA_000699475.1.gff S17
GCA_000699475.1.gff L14
GCA_000699475.1.gff L5
GCA_000699475.1.gff S14
GCA_000699475.1.gff S8
GCA_000699475.1.gff L6
GCA_000699475.1.gff L18
GCA_000699475.1.gff S5
GCA_000699475.1.gff L15
GCA_000699475.1.gff S13
GCA_000699475.1.gff S11
GCA_000699475.1.gff L17
GCA_000699475.1.gff L25
GCA_000699475.1.gff S16
GCA_000699475.1.gff L19
GCA_000699475.1.gff L27
GCA_000699475.1.gff L21
GCA_000699475.1.gff S1
GCA_000699475.1.gff S2
GCA_000699475.1.gff L28
GCA_000699475.1.gff S6
GCA_000699475.1.gff S18
GCA_000699475.1.gff L35
GCA_000699475.1.gff L20
GCA_000699475.1.gff S4
GCA_000699475.1.gff L31
GCA_000699475.1.gff L36

GCA_015134435.1.gff L25
GCA_015134435.1.gff S21
GCA_015134435.1.gff L33
GCA_015134435.1.gff L11
GCA_015134435.1.gff L1
GCA_015134435.1.gff L7/L12
GCA_015134435.1.gff L20
GCA_015134435.1.gff L35
GCA_015134435.1.gff L32
GCA_015134435.1.gff L34
GCA_015134435.1.gff L31
GCA_015134435.1.gff S20
GCA_015134435.1.gff L17
GCA_015134435.1.gff S4
GCA_015134435.1.gff S11
GCA_015134435.1.gff S13
GCA_015134435.1.gff L36
GCA_015134435.1.gff L15
GCA_015134435.1.gff S5
GCA_015134435.1.gff L18
GCA_015134435.1.gff S8
GCA_015134435.1.gff L14
GCA_015134435.1.gff S17
GCA_015134435.1.gff L22
GCA_015134435.1.gff S19
GCA_015134435.1.gff S10
GCA_015134435.1.gff S7
GCA_015134435.1.gff S18
GCA_015134435.1.gff S9
GCA_015134435.1.gff L27

GCF_000195735.1.gff S6
GCF_000195735.1.gff S18
GCF_000195735.1.gff L9
GCF_000195735.1.gff S2
GCF_000195735.1.gff L28
GCF_000195735.1.gff L31
GCF_000195735.1.gff L19
GCF_000195735.1.gff S12
GCF_000195735.1.gff S7
GCF_000195735.1.gff L11
GCF_000195735.1.gff L1
GCF_000195735.1.gff L10
GCF_000195735.1.gff L7/L12
GCF_000195735.1.gff L13
GCF_000195735.1.gff S9
GCF_000195735.1.gff S4
GCF_000195735.1.gff L36
